27,27
41,14
55,14
64,9
72,8
159,87
183,24
203,20
210,7
226,16
241,15
253,12
285,32
291,6
292,1
302,10
303,1
315,12
316,1
317,1
318,1
319,1
379,60
405,26
445,40
462,17
502,40
509,7
514,5
528,14
530,2
535,5
536,1
558,22
580,22
623,43
647,24
661,14
672,11
684,12
697,13
709,12
722,13
732,10
742,10
753,11
764,11
782,18
805,23
817,12
831,14
844,13
854,10
856,2
859,3
872,13
884,12
893,9
905,12
930,25
961,31
964,3
991,27
1045,54
1076,31
1106,30
1147,41
1190,43
1192,2
1198,6
1200,2
1201,1
1204,3
1210,6
1215,5
1285,70
1299,14
1311,12
1335,24
1362,27
1410,48
1446,36
1468,22
1514,46
1537,23
1596,59
1610,14
1622,12
1662,40
1691,29
1708,17
1736,28
1817,81
1894,77
1912,18
1992,80
2024,32
2045,21
2061,16
2076,15
2104,28
2124,20
2145,21
2175,30
2228,53
2235,7
2239,4
2311,72
2365,54
2401,36
2432,31
2471,39
2496,25
2517,21
2533,16
2553,20
2586,33
2658,72
2669,11
2685,16
2702,17
2755,53
2779,24
2793,14
2807,14
2847,40
2944,97
2958,14
2969,11
2993,24
3008,15
3045,37
3066,21
3131,65
3142,11
3165,23
3169,4
3281,112
3302,21
3330,28
3358,28
3406,48
3409,3
3422,13
3435,13
3436,1
3503,67
3575,72
3587,12
3687,100
3716,29
3908,192
3971,63
4015,44
4043,28
4128,85
4142,14
4160,18
4195,35
4226,31
4274,48
4350,76
4378,28
4398,20
4441,43
4472,31
4546,74
4562,16
4576,14
4593,17
4622,29
4646,24
4673,27
4696,23
4716,20
4738,22
4758,20
4774,16
4789,15
4802,13
4815,13
4844,29
4845,1
4846,1
4965,119
4978,13
4997,19
5015,18
5038,23
5052,14
5082,30
5083,1
5208,125
5237,29
5248,11
5388,140
5426,38
5504,78
5606,102
5657,51
5727,70
5765,38
5795,30
5823,28
5826,3
5845,19
5847,2
5851,4
5859,8
5870,11
5871,1
5887,16
5897,10
5907,10
5997,90
6012,15
6036,24
6059,23
6087,28
6102,15
6109,7
6146,37
6203,57
6219,16
6260,41
6261,1
6262,1
6266,4
6311,45
6312,1
6335,23
6393,58
6409,16
6437,28
6458,21
6488,30
6525,37
6591,66
6639,48
6655,16
6694,39
6771,77
